ID,Title,PublicationDate,Rating
51722,Райану Рейнольдсу и Хью Джекману предложили стать ведущими «Оскара»,1729008606,0.5
51721,Над Россией летит самая яркая комета за 13 лет,1729005951,0.5
51716,Спектакль окончен: рецензия на фильм «Джокер: Безумие на двоих»,1728992057,0.5
51713,Роман с призраком: рецензия на фильм «Сидони в Японии»,1728988882,0.5
51709,В России могут запретить выступления животных в цирке,1728922007,0.5
51707,Идёт работа над новым сериалом про Штирлица,1728920976,0.5
51706,Котят нашли в коробке с чипсами,1728916403,0.5
51704,В октябре можно будет наблюдать суперлуние,1728914532,0.5
51702,Одноклассники запускают уникальное научпоп-шоу про садоводство,1728907764,0.5
51698,Измени своё лицо: рецензия на фильм «Другой человек»,1728818890,0.5
51690,У «Теории большого взрыва» появится спин-офф,1728657965,0.5
51693,В Риме за посещение фонтана Треви будут брать плату,1728657216,0.5
51691,Tesla выпустит беспилотные такси,1728657032,0.5
51688,Вышел ещё один трейлер «Конклава» с Рэйфом Файнсом,1728649999,0.5
51679,Британцы снимут спин-офф «Гордости и предубеждения»,1728645579,0.5
51678,В России выпустили книгу о пет-френдли культуре,1728645460,0.5
51683,Северное сияние наблюдали по всей России,1728643216,0.5
51676,Составили рейтинг лучших хорроров всех времён,1728567207,0.5
51673,ВКонтакте отмечает 18-летие,1728564918,0.5
51665,Планета против: рецензия на фильм «Говорит Земля!»,1728548446,0.5
51662,В Японии выпустили самый маленький кубик Рубика в истории,1728489302,0.5
51661,Вышел дебютный трейлер байопика про Боба Дилана,1728485891,0.5
51660,Роман «Йеллоуфейс» Ребекки Куанг экранизируют,1728484649,0.5
51659,В новом трейлере «Моаны 2» герои противостоят богине,1728483965,0.5
51657,Объявлена дата премьеры экранизации «Ста лет одиночества»,1728483584,0.5
51647,Турецкие пастухи требуют от фермеров оплачивать интернет для просмотра TikTok,1728399458,0.5
51643,Москва возглавила рейтинг самых матерящихся городов страны,1728397841,0.5
51634,Нейросеть помогла сделать трейлер игровой версии «Принцессы Мононоке»,1728315009,0.5
51633,Шоу «Натальная карта» запустило сервис с предсказаниями,1728314796,0.5
51632,Энн Хэтэуэй подтвердила участие в третьей части «Дневников принцессы»,1728314643,0.5
51631,В России может появиться студенческая ипотека,1728312093,0.5
51630,В октябре ожидаются два звездопада,1728311203,0.5
51629,В России планируют ввести штрафы за оскорбление учителей,1728310966,0.5
51620,Над Россией зажглось северное сияние,1728296475,0.5
51615,Смотрим новый трейлер фильма «Паддингтон в Перу»,1728055367,0.5
51614,Большой театр теперь продаёт билеты только по паспортам,1728052593,0.5
51613,В Нью-Йорке крысам будут давать контрацептивы для сокращения их численности,1728050685,0.5
51612,Эминем станет дедушкой в следующем году,1728048000,0.5
51598,Опубликован трейлер фильма «Джой» об изобретении ЭКО,1727952625,0.5
51289,В Питере — строить бизнес. История агентства MUSICTOTHE,1727950665,0.5
51597,По мультсериалу «Ох уж эти детки!» снимут фильм,1727946906,0.5
51596,Подозреваемого в похищении кенгурят из зоопарков задержали,1727942907,0.5
51594,На Камчатке группу косаток выбросило на мель,1727884726,0.5
51593,Опубликован трейлер документалки о творчестве композитора Джона Уильямса,1727883528,0.5
51592,Вышел трейлер байопика «Быть лучше: История Робби Уильямса»,1727881791,0.5
51590,«Игра в кальмара» снова набирает участников в тизере второго сезона,1727878859,0.5
51589,Повара опробуют классические советские рецепты в новом шоу,1727878742,0.5
51585,Сёстры Фэннинг работают над экранизацией мемуаров Пэрис Хилтон,1727864214,0.5
51583,Из зоопарков в Ярославле и Калуге пропали кенгурята,1727859203,0.5
51563,Кровавое боди: рецензия на фильм «Субстанция»,1727789838,0.5
51523,Племя изгоев: рецензия на фильм «Граф Монте-Кристо»,1727444480,0.62
51290,Go по работам: юрист по интеллектуальной собственности про народные представления о профессии, молодую музыкальную индустрию и Гарри Поттера,1727437016,0.5
51503,Утопия по-русски: рецензия на сериал «Исправление и наказание»,1727184467,0.5
51468,Социальный хоррор: рецензия на фильм «Холли»,1727173125,0.5
51394,Go по работам: кастинг-директор Татьяна Хречкова о режиссёрском видении, новых лицах в кино и будущем кастинга,1726838450,0.5
51237,Go по работам: интерьерный фотограф о секретах отличного фото, правильной съёмке и силовых тренировках,1726834664,0.5
51435,Радости смерти: рецензия на фильм «Битлджус Битлджус»,1726677557,0.5
51419,Правила игры: рецензия на фильм «Виды доброты» Йоргоса Лантимоса,1726590847,0.5
51401,Старая (не)добрая комедия: рецензия на фильм «Ненасытные люди»,1726496880,0.5
51362,Сладкий вкус справедливости: рецензия на фильм «Револьвер»,1726145106,0.5
31702,Перфекционизм и чёрный юмор — что объединяет фильмы Стэнли Кубрика,1726009561,0.95
51320,Linkin Park: легендарная группа в цифрах,1725970954,0.88
51234,Город глазами художника Никаса Сафронова,1725877125,0.5
51256,Одинокий дикарь: рецензия на фильм «Чёрный пёс»,1725449432,0.5
51249,Попытка повторить: рецензия на фильм «Счастливые дни»,1725379446,0.5
51244,Кровь и мёд: рецензия на фильм «Пчеловод» с Джейсоном Стэйтемом,1725377095,0.5
51062,Go по работам: дизайнеры бренда Wearnost про дружбу с клиентами, уникальные материалы и мечты, ставшие реальностью,1725290344,0.5
50892,Go по работам: соосновательницы бренда DEDÈ про гениальные идеи в 4 утра, неуловимую ткань и дьявола в деталях,1725274168,0.73
51180,Победить с помощью воображения: рецензия на мультфильм «Гиганты Ла-Манша»,1724832231,0.5
51156,Проклятый мальчик: рецензия на фильм «Ворон»,1724684551,0.5
51138,Порушенная иерархия: рецензия на фильм «Идеальный лжец»,1724415408,0.5
50818,В Питере — строить бизнес. История студии Backyard Ceramics,1724338186,0.5
51096,Народный полицейский: рецензия на фильм «Криминальный город: Возмездие»,1724184043,0.5
51069,Как менялся российский кинематограф: 30 лет истории кино,1724156694,0.5
51049,В центре хаоса: рецензия на сериал «Игры»,1723803081,0.5
50983,Лилит против всех: рецензия на фильм «Бордерлендс»,1723457274,0.5
50968,Безумный броманс: рецензия на фильм «Дэдпул и Росомаха»,1723207495,0.73
50919,Всё сошлось в одной точке: рецензия на фильм «Тополиный пух»,1722852675,0.5
50634,В Питере — строить бизнес. История компании «Кураж-Вояж»,1722347336,0.5
50840,Путешествие к себе: рецензия на фильм «Моя семья»,1722251364,0.5
50836,Взгляд дьявола: рецензия на фильм «Собиратель душ»,1722246250,0.5
50781,В Питере — строить бизнес. История сети стритфуда «VЛAVAШЕ»,1721903488,0.5
50772,Приключения мрачного добряка продолжаются: рецензия на мультфильм «Гадкий я 4»,1721739746,0.5
50743,Любовь в виноградной долине: рецензия на фильм «Мадам Клико»,1721640554,0.5
50710,Разбушевавшаяся плоть: рецензия на фильм «Максин XXX»,1721215311,0.5
50689,Давай уже снимем эту сцену: рецензия на фильм «Второй акт»,1721037771,0.5
50648,Тревожное дитя: рецензия на мультфильм «Головоломка 2»,1720533926,0.73
50632,Болезненное воспоминание: рецензия на фильм «Объясни мне, любовь»,1720430486,0.5
50582,Искусственная пища: рецензия на фильм «Клуб Зеро»,1720000459,0.5
50549,Сериальный вестерн на большом экране: рецензия на фильм «Горизонты: часть 1»,1719831001,0.5
50229,10 иностранных песен, в которых можно услышать слова и фразы на русском языке,1719488303,0.5
50470,О твоей матери и её матери: рецензия на фильм «Маленькая девочка в голубом»,1719225680,0.5
50465,Братья, деньги, 113 стволов: рецензия на сериал «На автомате»,1719220751,0.5
50342,В Питере — строить бизнес. История газеты KICKSPAPER,1718974909,0.5
50389,Пешком, не теряя веру: рецензия на фильм «Вторая жизнь Гарольда Фрая»,1718623746,0.5
50388,Реинкарнация в кошачьем мире: рецензия на мультфильм «10 жизней»,1718621863,0.5
47097,Не только кей-поп и дорамы: рассказываем про вебтуны — ещё один феномен корейской волны,1718285469,0.5
50358,Земные ангелы в мрачном Нью-Йорке: рецензия на фильм «Асфальтовые джунгли»,1718284939,0.5
50340,Путешествие KudaGo в Красноярск: разбираемся в музыкальных фестивалях, гастрономических открытиях и таёжных маршрутах,1718109398,0.5
50287,«Изучение языков должно приносить удовольствие!»: переводчик Дмитрий Петров о самом лёгком языке, мыслях полиглотов и мифах о профессии,1718107758,0.5
50249,«Хорошо, когда хорошо»: Анна Богинская о писательстве, манипуляциях и здоровых отношениях,1718023388,0.5
50159,Go по работам: пилот о влюблённости в профессию, офисной стороне жизни и молитвах на борту,1718023309,0.5
50319,Гротеск и постирония: рецензия на фильм «Непослушники»,1718012853,0.5
50212,В Питере — добрые дела. История приюта и котокафе «Город кошек»,1717774232,0.5
50236,Сломанный вестерн: рецензия на фильм «Мёртвые не причиняют боли»,1717413461,0.5
50219,Счастливая случайность: рецензия на фильм «Мечта с подвохом»,1717158596,0.5
50157,Герой стал взрослым: рецензия на фильм «Майор Гром: Игра»,1716815446,0.5
49936,Творческое объединение Gazgolder пополнилось семью новыми артистами,1716815439,0.5
50101,Go по работам: заместитель директора ЦПКиО о фестивале тюльпанов, любимых местах в парке и антистрессовых белочках,1716558393,0.5
50106,Go по работам: генеалоги о поиске предков, цене родословной и семейном древе до 1620 года,1716391154,0.5
50004,Go по работам: музейный сотрудник Исаакиевского собора про пуховые ризы, путешествия по стране и развеску на «отлично»,1716204592,0.88
50062,Причудливая фантасмагория: рецензия на фильм «Даааааали!»,1716197709,0.5
50003,По стопам Тарантино: рецензия на фильм «Министерство неджентльменских дел» Гая Ричи,1715685232,0.5
49973,О роботе и душе: рецензия на мультфильм «Марс Экспресс»,1715594368,0.5
49843,Go по работам: специалист по прокату репертуара в «Авроре» про любовь к кино длиною в 30 лет,1715592093,0.5
49968,10 самых популярных рок-групп XX века,1715585396,0.73
49953,В непримечательной комнате: рецензия на фильм «Реальная история Уиннер»,1715163314,0.5
49885,Go по работам: куратор выставочных проектов Юлия Сталь про очумелые ручки, трусы для тотема и бюрократию в музее,1715158802,0.5
49898,Трагедия между человеком и природой: рецензия на фильм «Зло не существует»,1714657929,0.5
49743,Go по работам: художник кинокостюма Анна Баштовая про рождение героя, важность его детства и костюмы, которые могут говорить,1714219104,0.73
49862,Земледелие в Средние века: рецензия на фильм «Меч короля»,1714135530,0.5
49804,Тульский кластер «Октава»: как успешно популяризировать науку и искусство?,1713946373,0.5
49810,Мальчик, который побывал в будущем: рецензия на фильм «Сто лет тому вперёд»,1713795632,0.5
49807,Краткий экскурс в религию и атеизм: рецензия на фильм «По Фрейду»,1713789743,0.5
49777,Как реагировать на негативные отзывы,1713458001,0.5
49766,Страх, безумие и тёмные стороны человеческой натуры: режиссёрский стиль Романа Полански,1713435287,0.5
49727,Цикл вечеров «Орган в Планетарии»: узнайте, какое небесное тело вам подходит,1713348178,0.73
49718,Документируя происходящее: рецензия на фильм «Падение империи»,1713189440,0.5
49667,Дежавю, дежавю, дежавю: рецензия на фильм «Предчувствие»,1712751302,0.73
49651,Рецензия на фильм «Золото Рейна»,1712668404,0.73
49509,Бумеры, зумеры и миллениалы: чем отличаются разные поколения,1712589234,0.5
49599,Когда кто-то верит в тебя: рецензия на фильм «Ненормальный»,1712236319,0.5
49579,Go по работам с сотрудницей благотворительного фонда AdVita: про паллиативную помощь, сочувствие и смерть,1712217163,0.5
49559,Теперь с ChatGPT можно работать без регистрации,1712049791,0.5
49515,Бурлеск-шоу: между винтажной эротикой и театральным жанром,1711713947,0.73
49519,За мечтой на ржавой лодке: рецензия на фильм «Я — капитан»,1711628389,0.5
49023,«Женщина в огне» Лизы Барр: мировой бестселлер о теневом мире большого искусства,1711612349,0.5
49474,«Я не хочу в школу»: памятка для родителей, столкнувшихся с детским буллингом,1711549913,0.5
49478,Мир как будто бы пустяк: рецензия на фильм «Летучий корабль»,1711369064,0.5
49435,Ты мне не снишься: рецензия на фильм «Герой наших снов»,1710932741,0.5
49417,Грин возвращается: рецензия на фильм «Алые паруса»,1710781434,0.5
49330,Go по работам: главный редактор KudaGo про творческую сторону журналистики, стендапы, рыбу и кликбейтные заголовки,1710507332,1.0
49214,Go по работам: «сериальный маньяк» про сторителлинг, инновационный маркетинг и хобби как профессию,1710253899,0.5
49364,«Нужно понять, что поодиночке тоже круто»: интервью с Елизаветой Янковской,1710242686,0.5
49363,«Томясь душевной пустотой»: рецензия на фильм «Онегин»,1710234738,0.73
49334,Интервью с Алексеем Сухаревым: о «Модном приговоре», «Пацанках» и выборе стиля,1709832041,0.5
49310,Думай как профайлер: рецензия на сериал «Внутри убийцы»,1709740306,0.5
49302,Go по работам: актёр иммерсивного театра Кирилл Нагиев про работу с маской, импровизацию и спектакль «ВЕРНУВШИЕСЯ: Иная реальность»,1709733874,0.5
49215,Женщины в бизнесе: про предвзятость, стереотипы и женскую солидарность в предпринимательстве,1709650644,0.95
49271,Ты ко мне никогда не вернёшься: рецензия на фильм «Прошлые жизни»,1709558834,0.5
49257,Повесть о болезненной дружбе: рецензия на фильм «Свет»,1709308861,0.5
49202,Двойные лица, двойные стандарты: рецензия на фильм «Май декабрь»,1709124568,0.5
49154,Высокая кухня и высокие отношения: рецензия на фильм «Рецепт любви»,1708948958,0.5
48541,В Питере — строить бизнес. История института технологий обучения и развития,1708530610,0.5
48974,Петербург глазами тревел-блогера Артёма Рындевича: про обволакивающую атмосферу, локальные заведения и глобальные планы,1708417168,0.5
49058,Один за всех и все против Миледи: рецензия на фильм «Три мушкетёра: Миледи»,1708342434,0.5
48544,Go по работам: композитор «Майора Грома» про ускользающую мелодию, праздник пополам с рутиной и жизнь саундтрека в голове зрителя,1708095596,0.73
49026,6 минут в день: как ежедневник может изменить жизнь?,1708092815,0.5
49037,Закольцевали судьбы: рецензия на фильм «Лёд 3»,1708089860,0.5
48948,«Если не бежать вперёд, то стать кем-то значимым сложно»: дизайнер Маша Хауберк о «Кольчуге», платье из газет и высокой моде,1707989075,0.5
48973,Что такое любовь? Отвечают подписчики KudaGo ВКонтакте,1707916044,0.5
48981,Давай ограбим банк: рецензия на фильм «Мармелад»,1707905543,0.5
48957,Чувства на экране: любовь по мнению ромкомов и мелодрам,1707826875,0.5
48828,В Питере — строить бизнес. История ремесленной пекарни Enco,1707824016,0.73
48935,Как рассказать о любви, не используя трёх заветных слов? Знает фонд «Антон тут рядом»,1707823774,0.5
48916,Никита Волков об адаптации сериала «Постучись в мою дверь»: «Многое было переработано под московские реалии»,1707746495,0.5
48889,Поэзия жизни маленького человека: рецензия на фильм «Идеальные дни»,1707396820,0.5
48706,Go по работам: таролог про коллег-чернокнижников, обиженные карты и психологическую силу таро,1707218197,0.73
48750,Что за сигма этот чечик! Более 30 слов, которые помогут разобраться в современном сленге,1706784645,0.5
48662,Актёр из сериала «Слово пацана» Лев Зулькарнаев: «Нужно отпустить этот сериал. Я, во всяком случае, это сделал»,1706780821,0.5
48715,Рукописи не горят: рецензия на фильм «Мастер и Маргарита»,1706689096,0.5
48006,Go по работам: массажист о триггерах, работающих техниках и о том, почему антицеллюлитный массаж — не панацея,1706625050,0.73
48688,Город огней: рецензия на мультфильм «Мечты робота»,1706535660,0.88
48668,Ведьмы и паранормальное в кинематографе,1706525643,0.5
48611,Птица в золотой клетке: рецензия на фильм «Присцилла: Элвис и я»,1706094178,0.5
48537,В Питере — строить бизнес. История бренда Post Meridiem,1705918813,0.73
48503,Притяжение двоих: рецензия на фильм «Задира»,1705503341,0.5
48469,В тугих родительских объятиях: рецензия на фильм «Стальная хватка»,1705402323,0.5
47789,Go по работам: шеф-повар Илья Дьячков про управленческую жилку, кружку кофе и реальные обязанности на кухне,1705055301,0.5
48250,Что покупать у ювелирного бренда Qari Qris: 5 коллекций, которые не оставят вас равнодушными,1704890699,0.5
48367,Новогодний собачий патруль: рецензия на мультфильм «Великолепная пятёрка»,1704876935,0.5
48298,«Ничего на свете лучше нету»: рецензия на фильм «Бременские музыканты»,1703771086,0.5
48293,«Если вдруг вам захочется, можете подпевать»: интервью с актёром Тихоном Жизневским,1703767433,0.5
48289,Как создаётся кино: рецензия на фильм «Великая магия»,1703761967,0.5
48262,Феномен «Щелкунчика»: история самого новогоднего балета,1703678570,0.88
48203,Netflix показал кадры из сериала «Аватар: Последний маг воздуха»,1703258463,0.5
48193,Гонка не на жизнь, а на смерть: рецензия на фильм «Феррари»,1703245529,0.5
48190,История новогодней франшизы «Ёлки»,1703241054,0.88
48154,Историческое расследование или современный пересказ: Александра Маринина снова смотрит на историю Англии глазами Шекспира,1703234019,0.5
48155,Южная Корея 70-х — ретро и экшен: рецензия на фильм «Контрабандистки»,1703158273,0.5
48097,Мне совсем не нужен мир, где мы с тобой друг другу не нужны: рецензия на фильм «Новогодний шеф»,1702655864,0.73
48079,Душа и разум: рецензия на мультфильм «Волшебное приключение Да Винчи»,1702567699,0.5
48069,Нетерпимость и принятие: рецензия на фильм «Королевство зверей»,1702557862,0.5
